03899;AHJOKATU 18;40320;JYVÄSKYLÄ;TAVARATALO;AHJOKEISARI;LIIKETILAN AUKIOLO;;62.259700;25.779060
40002;AHJOKATU 5;40320;JYVÄSKYLÄ;KAUPPAKESKUS;KAUPPAKESKUS SEPPÄ;LIIKETILAN AUKIOLO;;62.256010;25.777260
05453;AHJOKATU 7;40320;JYVÄSKYLÄ;TAVARATALO;PRISMA SEPPÄLÄ / KELLARIKERROS;LIIKETILAN AUKIOLO;;62.257880;25.778020
05479;AHJOKATU 7;40320;JYVÄSKYLÄ;TAVARATALO;PRISMA SEPPÄLÄ / PÄÄSISÄÄNKÄYNTI 1 KRS.;LIIKETILAN AUKIOLO;;62.257880;25.778020
04199;VAPAAHERRANTIE 11;40320;JYVÄSKYLÄ;TAVARATALO;MINIMANI;LIIKETILAN AUKIOLO;;62.255020;25.762660
40155;VASARAKATU 29;40320;JYVÄSKYLÄ;TAVARATALO;K-CITYMARKET SEPPÄLÄ;LIIKETILAN AUKIOLO;;62.264310;25.776820
05676;NEVAKATU 1;40340;JYVÄSKYLÄ;LIIKEKIINTEISTÖ;HUHTAKOTI;24 H AUKIOLO;;62.271352;25.800148
05522;KYLMÄLAHDENTIE 6;40500;JYVÄSKYLÄ;TAVARATALO;K-CITYMARKET KELJO;LIIKETILAN AUKIOLO;;62.215980;25.719500
40041;KYLMÄLAHDENTIE 6;40500;JYVÄSKYLÄ;KAUPPAKESKUS;KELJON LIIKEKESKUS;LIIKETILAN AUKIOLO;;62.215580;25.720350
03731;KYLMÄLAHDENTIE 8;40500;JYVÄSKYLÄ;TAVARATALO;PRISMA KELJO;24 H AUKIOLO;;62.217180;25.720870
05566;KYLMÄLAHDENTIE 8;40500;JYVÄSKYLÄ;TAVARATALO;PRISMA KELJO;LIIKETILAN AUKIOLO;;62.217730;25.720510
05672;SYÖTTÄJÄNKATU 2;40520;JYVÄSKYLÄ;KAUPPAKESKUS;KUOKKALAN LIIKEKESKUS;24 H AUKIOLO;;62.227688;25.773370
05985;KELTINMÄENTIE 13;40640;JYVÄSKYLÄ;KAUPPA;S-MARKET KELTINMÄKI;24 H AUKIOLO;;62.228050;25.681320
05956;KAIVOKATU 1;40700;JYVÄSKYLÄ;KAUPPA;K-SUPERMARKET LÄNSIVÄYLÄ;24 H AUKIOLO;;62.243520;25.713760
04466;VOIONMAANKATU 7;40700;JYVÄSKYLÄ;KAUPPA;K-MARKET RUOKAVINKKI;24 H AUKIOLO;;62.239650;25.729260
05708;ASEMATIE 1;40800;VAAJAKOSKI;KAUPPA;S-MARKET VAAJALA;24 H AUKIOLO;;62.248516;25.877320
05816;VAAJAKOSKENTIE 850;40800;VAAJAKOSKI;LIIKENNEPAIKKA;ABC VAAJAKOSKI;LIIKETILAN AUKIOLO;;62.230041;25.900326
04975;PARVIAISENTIE 3;40900;SÄYNÄTSALO;LIIKEKIINTEISTÖ;LIIKETILA;24 H AUKIOLO;;62.138320;25.766150
04230;SETÄLÄNTIE 2;40950;MUURAME;KAUPPAKESKUS;MUURAMEN KAUPPAKESKUS;24 H AUKIOLO;;62.136430;25.673170
05083;KIRKKOKATU 1;41160;TIKKAKOSKI;LIIKEKIINTEISTÖ;LIIKETILA;24 H AUKIOLO;;62.388700;25.646340
